LOVE_YP_POWERFLOW_DATA
#bus.txt
BUS_INFO_BEGIN:14
#i	Name	Type	V	cita	BS	GP	GQ	LP	LQ	Qmax	Qmin	b
1	bus_1	1	1.06	0	100	232.38	-16.89	0	0	0	0	0
2	bus_2	2	1.045	-4.9808	100	40	42.4	21.7	12.7	50	-40	0
3	bus_3	2	1.01	-12.7176	100	0	23.39	94.2	19	40	0	0
4	bus_4	3	1.0186	-10.3241	100	0	0	47.8	-3.9	0	0	0
5	bus_5	3	1.0203	-8.7825	100	0	0	7.6	1.6	0	0	0
6	bus_6	2	1.07	-14.2223	100	0	12.24	11.2	7.5	24	-6	0
7	bus_7	3	1.062	-13.368	100	0	0	0	0	0	0	0
8	bus_8	2	1.09	-13.368	100	0	17.36	0	0	24	-6	0
9	bus_9	3	1.0563	-14.9462	100	0	0	29.5	16.6	0	0	0.19
10	bus_10	3	1.0513	-15.1039	100	0	0	9	5.8	0	0	0
11	bus_11	3	1.0571	-14.7949	100	0	0	3.5	1.8	0	0	0
12	bus_12	3	1.0569	-15.0771	100	0	0	6.1	1.6	0	0	0
13	bus_13	3	1.0504	-15.1586	100	0	0	13.5	5.8	0	0	0
14	bus_14	3	1.0358	-16.0386	100	0	0	14.9	5	0	0	0

#i:    节点编号
#Name：名称
#Type：节点类型    1=平衡  2:PV  3:PQ
#V：   电压幅值(p.u.)
#cita：电压角度(°)
#BS:	基准功率(MVA)
#GP：  发电机P(MW)
#GQ：  发电机Q(Mvar)
#LP：  负荷P(MW)
#LQ：  负荷Q(Mvar)
#Qmax:	无功极限(Mvar)
#Qmin:	无功极限(Mvar)
#b:	电纳(p.u.)
BUS_INFO_END

#branch(支路信息)
BRANCH_INFO_BEGIN:20
#i	j	Name	Type	R	X	B	K
1	2	L_1	1	0.01938	0.05917	0.0264	0
2	3	L_2	1	0.04699	0.1979	0.0219	0
2	4	L_3	1	0.05811	0.17632	0.0187	0
1	5	L_4	1	0.05403	0.22304	0.0246	0
2	5	L_5	1	0.05695	0.17388	0.017	0
3	4	L_6	1	0.06701	0.17103	0.0173	0
4	5	L_7	1	0.01335	0.04211	0.0064	0
5	6	T_1	2	0	0.25202	0	0.932
4	7	T_2	2	0	0.20912	0	0.978
7	8	L_8	1	0	0.17615	0	0
4	9	T_3	2	0	0.55618	0	0.969
7	9	L_9	1	0	0.11001	0	0
9	10	L_10	1	0.03181	0.0845	0	0
6	11	L_11	1	0.09498	0.1989	0	0
6	12	L_12	1	0.12291	0.25581	0	0
6	13	L_13	1	0.06615	0.13027	0	0
9	14	L_14	1	0.12711	0.27038	0	0
10	11	L_15	1	0.08205	0.19207	0	0
12	13	L_16	1	0.22092	0.19988	0	0
13	14	L_17	1	0.17093	0.34802	0	0

#i:    支路的始端节点编号                          
#j:    支路的末端节点编号 
#Name：支路名称
#Type：类型， 2=变压器  1=线路
#R：   电阻(p.u.)
#X：   电抗
#B：   线路总电纳（pai型等值电路）
#K：   变压器非标准变比

BRANCH_INFO_END
